question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Phenol in electrophilic substitution in ring is:,,Chemistry,Organic Chemistry,Phenols,1,Medium,Meta directive,,o & p directive,,Para directive,,o & m directive,,2
The order of rate of diffusion is,,Chemistry,Physical Chemistry,Diffusion,1,Medium,CO₂ > SO₃ > SO₂ > PCl₃,,SO₂ > CO₂ > SO₃ > PCl₃,,PCl₃ > CO₂ > SO₂ > SO₃,,CO₂ > SO₂ > SO₃ > PCl₃,,4
The best metal used for photo emission is:,,Chemistry,Modern Physics,Photoelectric Effect,1,Medium,K,,Na,,Cs,,Li,,3
The real gas will show ideal behaviour at,,Chemistry,Physical Chemistry,Real & Ideal Gas,1,Medium,Low temperature & pressure,,High temperature & pressure,,High temperature & low pressure,,Low temperature & high pressure,,2
Which of the following is NOT an ore of copper?,,Chemistry,Inorganic Chemistry,Ores of Metals,1,Medium,Cuprite,,Chalcocite,,Limonite,,Malachite,,3
Splitting of ester by alcohol is called,,Chemistry,Organic Chemistry,Reactions,1,Medium,Alcoholysis,,Hydrolysis,,Acidolysis,,Esterification,,1
Propene and propyne can be distinguished by,,Chemistry,Organic Chemistry,Hydrocarbons,1,Medium,KMnO₄ Soln,,Bromine water Soln,,NaOH,,NH₃/NH₄,,2
Alkyl chloride can be converted into ether by,,Chemistry,Organic Chemistry,Alkyl Halides,1,Medium,Dry Ag₂O,,Dry Ag₂O,,ZnO,,MgO,,1
When 0.040 gm of NaOH is mixed with 100 cm³ of water. Then pH of resulting sol’n will be:,,Chemistry,Physical Chemistry,pH,1,Medium,12,,9,,10,,8,,3
Identify the wrong statement in the following:,,Chemistry,Periodic Table,Periodic Properties,1,Hard,Atomic radius of the elements increases as one moves down the first group of the periodic table,,Atomic radius of the elements decreases as one moves across from left to right in the 2nd period of the radius,,"Amongst iso-electronic species, smaller the positive charge on the cation, smaller is the ionic radius",,"Amongst iso-electronic species, greater the negative charge on the anion, larger is the ionic radius",,3
The electrolyte used in salt bridge consists of KNO₃ because:,,Chemistry,Physical Chemistry,Electrolytes,1,Medium,Velocity of K⁺ & NO₃⁻ is different,,Velocity of K⁺ & NO₃⁻ is nearly same,,Reducing nature,,Oxidation nature,,2
Two electrons in an orbital differ in,,Chemistry,Atomic Structure,Quantum Numbers,1,Medium,Principal quantum number,,Azimuthal quantum number,,Magnetic quantum number,,Spin quantum number,,4
The reaction of aniline with chloroform under alkaline condition leads to the formation of:,,Chemistry,Organic Chemistry,Reactions of Aniline,1,Medium,Phenyl Cyanide,,Phenyl cyanate,,Phenyl isonitrile,,Phenyl isocyanate,,3
"In the series 8, 16, 32, 64 … what will be the 8th term?",,MAT,Sequences & Series,Geometric Progression,1,Medium,512,,2048,,1024,,216,,2
"U, R, O, L, I, F, ?",,MAT,Reasoning,Alphabet Series,1,Medium,A,,B,,C,,D,,3
GIL : JLO :: QSV : ?,,MAT,Reasoning,Analogy,1,Medium,UWY,,TUX,,TUV,,TVY,,2
"The numerator and denominator of a proper fraction are increased by the same positive quantity which is greater than 9, then the resulting fraction is:",,MAT,Arithmetic,Fractions,1,Medium,Always less than the original fractions,,Always greater than the original fraction,,Always equal to the original fraction,,Such that nothing can be claimed definitely,,1
"A and B are two heavy steel block. If B is placed on the top of A, the weight increases by 60%. How much weight will reduce with respect to the total weight of A and B if B is removed from the top of A?",,MAT,Arithmetic,Percentage,1,Hard,35%,,40%,,37.50%,,45.50%,,3
How many 4’s are there preceded by 7 but not followed by 3? (Given long number sequence),,MAT,Reasoning,Digit Puzzle,1,Medium,3,,4,,6,,7,,2
Prakash walk 20 meters towards east he took right turn and walk 30 meters and then be took a left turn and walk 20 meters. In which direction is he now from the starting point?,,MAT,Reasoning,Directions,1,Medium,South-East,,South,,North-East,,North,,2
"Mercury is cooled to 4K, it behaves as",,Physics,Modern Physics,Superconductivity,1,Medium,Semiconductor,,Insulator,,Superconductor,,Conductor,,3
"A person is traveling at 4 m/s towards east. The rain is apparently falling vertically downwards with 3 m/s, then the actual velocity of rain is",,Physics,Mechanics,Relative Velocity,1,Medium,3√4 m/s,,5 m/s,,4√3 m/s,,7 m/s,,2
A cyclist turned over at 15 miles/hr. If doubled the speed of cycle then what is the chance of overturning?,,Physics,Mechanics,Circular Motion,1,Medium,Doubled,,Halved,,Quadrupled,,Constant,,3
The ratio of slope of P-V graph of adiabatic process and isothermal process is,,Physics,Thermodynamics,Gas Laws,1,Medium,1/γ,,γ,,γ²,,1/γ²,,2
A person is driving in a car with velocity 30 m/s towards the rock & the sound is reflected from rock. The person horned the car with frequency 600 Hz. The apparent frequency heard by the person is? (velocity of sound 330 m/s),,Physics,Waves,Doppler Effect,1,Medium,555.5 Hz,,550 Hz,,610 Hz,,720 Hz,,3
Soap bubbles shine due to,,Physics,Optics,Wave Phenomena,1,Medium,Refraction,,Diffraction,,Polarization,,Interference,,4
Two pipe are joined which has length L & 2L and radius R & 2R. What is the pressure difference between those two pipes?,,Physics,Fluid Mechanics,Poiseuille’s Law,1,Hard,1/8,,4,,2,,8,,1
With the increase in temperature the Young's modulus,,Physics,Properties of Matter,Elasticity,1,Medium,Increases,,Decreases,,Remains constant,,First increases then decreases,,2
The refractive index of diamond is 2.4. The velocity of light in diamond is,,Physics,Optics,Refraction,1,Medium,1.25 × 10⁸ m/s,,2.5 × 10⁸ m/s,,3 × 10⁸ m/s,,8 × 10⁸ m/s,,2
"A rest substance is broken into three pieces. First two pieces have equal mass with the velocity of 30 m/s move in perpendicular direction, 3rd piece has its mass 3 times the mass of each equal piece. Find the velocity of third piece.",,Physics,Mechanics,Conservation of Momentum,1,Hard,9.8 m/s,,20 m/s,,14.4 m/s,,30 m/s,,3
A water has temperature 22°C. A Geyser ejects 1L water per minute at 37°C. What is the power of geyser?,,Physics,Heat,Calorimetry,1,Medium,1050 watt,,760 watt,,2055 watt,,1890 watt,,3
Reflecting telescope uses:,,Physics,Optics,Telescope,1,Medium,Convex Mirror,,Concave Mirror,,Plano-convex lens,,Prism,,2
"For ideal gas, Joule Thomson effect is",,Physics,Thermodynamics,Gas Laws,1,Medium,Positive,,Negative,,Infinity,,Zero,,2
A train travels for 40 km with velocity of 80 km/hr and again it travels next 40 km with velocity of 40 km/hr. Then average speed of the train is,,Physics,Mechanics,Motion,1,Medium,40 km/hr,,48 km/hr,,45 km/hr,,53 km/hr,,3
Stationary observer heard twice the original frequency of the source moving towards the observer. What is the velocity of source? (Given the velocity of sound 332 m/s),,Physics,Waves,Doppler Effect,1,Hard,99 m/s,,166 m/s,,272 m/s,,332 m/s,,2
Kirchhoff’s 1st law is based on,,Physics,Electricity,Kirchhoff’s Law,1,Medium,Conservation of mass,,Conservation of charge,,Conservation of energy,,Conservation of momentum,,2
A radioactive particle at rest is disintegrated into two pieces. What is its ratio of de-Broglie wavelength λ1/λ2?,,Physics,Modern Physics,Radioactivity,1,Medium,m₂/m₁,,m₁/m₂,,√(m₂/m₁),,1,,1
A circular coil with its horizontal axis is perpendicular to the magnetic field. What is the angle between magnetic field and the plane of coil when the induced emf is maximum?,,Physics,Magnetism,Electromagnetic Induction,1,Medium,0°,,45°,,30°,,90°,,4
An A.C Circuit contains resistance 4Ω and capacitive reactance 3Ω. Then the impedance of circuit is,,Physics,Electricity,AC Circuits,1,Medium,5Ω,,4Ω,,3Ω,,7Ω,,1
The unit of Resistance in SI system is,,Physics,Units & Dimensions,Resistance,1,Easy,kgm²secA⁻¹,,kgm²sec³A⁻²,,kgm²sec⁻³A⁻¹,,kgm²sec³A⁻²,,2
Escape velocity of a body projected from earth:,,Physics,Gravitation,Escape Velocity,1,Medium,√(2GM/R),,√(GM/R),,√(GM/2R),,√(GM/R²),,1
"If the two vectors V & V₁ having same magnitude, then which of the following is not true for the sum of their magnitude?",,Physics,Mechanics,Vectors,1,Medium,0,,1/4V,,2V,,4V,,2
Geostationary satellite of earth:,,Physics,Gravitation,Satellite Motion,1,Medium,Revolve about the polar axis,,Moves faster than a near Earth satellite,,Is stationary in space,,Has a time period less than that of the near Earth satellite,,3
When two blocks of ice are pressed together they join to form one block because,,Physics,Heat,Phase Change,1,Medium,Heat production,,Increase in specific gravity,,Decrease in melting point of ice (due to pressure),,Increase in melting point of ice (due to pressure),,3
In an adiabatic process,,Physics,Thermodynamics,Adiabatic Process,1,Medium,Pressure is constant,,The gas is expanded isothermally,,There is perfect heat insulation,,System exchanges heat with the surrounding,,3
Soft iron core is used to manufacture electromagnets because of,,Physics,Magnetism,Electromagnets,1,Medium,High permeability and high retentivity,,Low permeability and high retentivity,,High susceptibility and low retentivity,,Low permeability and low retentivity,,3
A cathode ray is,,Physics,Modern Physics,Cathode Ray,1,Easy,Positive,,Positron,,Neutral,,Stream of fast moving electrons,,4
Quantum theory is explained by,,Physics,Modern Physics,Quantum Theory,1,Medium,Photon,,Positron,,Electron,,None,,1
When the magnetic field is applied across the north & the positive charge is deflected toward the east then current flowing is:,,Physics,Magnetism,Magnetic Force,1,Medium,East,,West,,Downward,,Upward,,2
Galvanometer is converted to ammeter,,Physics,Electricity,Galvanometer,1,Medium,When a small resistance is connected in series,,When a small resistance is connected in parallel,,When a large resistance is connected in series,,When a large resistance is connected in parallel,,2
A hemispherical surface (half of a spherical surface) of radius R is located in a uniform electric field of magnitude E that is parallel to the axis of the hemisphere. The magnitude of the electric flux through the hemisphere surface is,,Physics,Electrostatics,Electric Flux,1,Hard,πR²E,,4/3 πR²E,,2/3 πR²E,,1/2 πR²E,,3
"In the person who cannot see nearer than 25 cm,",,Physics,Optics,Defects of Vision,1,Medium,Size of eyeball increases,,Size of eyeball decreases,,Distance between eye lens and retina can’t be decreased,,Focal length can’t be decreased beyond certain limit,,4
Green house effect is caused by:,,Physics,Heat,Atmosphere,1,Easy,Infrared rays,,UV rays,,X-ray,,Visible ray,,1
"A sample with half life 2 hr is 64 times stronger than a safe amount. After how much time, it is safe to work with this sample?",,Physics,Modern Physics,Radioactivity,1,Medium,12 hr,,24 hr,,36 hr,,48 hr,,2
"When a positive charge is released and moves along an electric field line, it moves to a position of",,Physics,Electrostatics,Electric Potential,1,Medium,Lower potential and lower potential energy,,Lower potential and higher potential energy,,Higher potential and lower potential energy,,Higher potential and higher potential energy,,1
"If a body is projected with velocity V less than the escape velocity of earth, then the total energy of the projected body is:",,Physics,Gravitation,Escape Velocity,1,Medium,#NAME?,,-ve,,zero,,may be +ve or -ve,,2
What happens to the dispersive power of a prism when it is immersed in water?,,Physics,Optics,Prism,1,Medium,Increases,,Decreases,,Remain constant,,Depends on angle of prism,,2
The temperature at which expanding gas shows cooling effect is:,,Physics,Thermodynamics,Joule-Thomson Effect,1,Medium,Critical temperature,,Boyle’s temperature,,Absolute temperature,,Inversion temperature,,4
"During photoelectric effect, the number of emitted electrons depend upon",,Physics,Modern Physics,Photoelectric Effect,1,Medium,Intensity of incident radiation,,Frequency,,Wavelength,,P.d,,1
The source of energy of sun is,,Physics,Modern Physics,Nuclear Reactions,1,Easy,Nuclear fission,,Nuclear fusion,,Geothermal,,Radioactivity,,2
A long solenoid has 200 turns per cm and carries a current of 2.5 Amp. The magnetic field at its centre is,,Physics,Magnetism,Solenoids,1,Medium,3.14 × 10⁻² Wb/m²,,9.42 × 10⁻² Wb/m²,,12.56 × 10⁻² Wb/m²,,6.28 × 10⁻² Wb/m²,,2
The unit of relative permittivity is,,Physics,Electrostatics,Dielectrics,1,Medium,Farad,,Farad/meter,,Henry/meter,,It is unit less,,4
Meat takes longer time to cook,,Physics,Heat,Heat Transfer,1,Medium,At sea level,,In a submarine 100 m below the sea level,,At the top of Mt. Everest,,In Kathmandu,,3
A sound having intensity of 10⁻⁶ has loudness of:,,Physics,Waves,Sound Intensity,1,Medium,60 dB,,30 dB,,90 dB,,120 dB,,1
When intrinsic semiconductor is doped with impurity then conductivity is:,,Physics,Electronics,Semiconductors,1,Medium,Tes,,1eS,,Constant,,1/Tes,,2
Forward biasing of p-n junction offers:,,Physics,Electronics,Diodes,1,Easy,High resistance,,No resistance,,Low resistance,,Infinite resistance,,3
"If the half life of a radioactive material is 1600 yrs, then the fraction of undecayed material after 4800 yrs is",,Physics,Modern Physics,Radioactivity,1,Medium,1/8,,1/2,,2/8,,8/7,,1
The angle of polarization between reflected and refracted ray is,,Physics,Optics,Polarization,1,Medium,0°,,45°,,90°,,180°,,3
Which does not obey octet rule?,,Chemistry,Chemical Bonding,Octet Rule,1,Medium,CO,,N₂O₄,,H₂SO₄,,NH₃,,1
The highest pH at equivalence point exists for the titration between,,Chemistry,Acid-Base,Titration,1,Medium,Hydrochloric acid & Sodium hydroxide,,Oxalic acid & Ammonium hydroxide,,Hydrochloric acid & Ammonium hydroxide,,Oxalic acid and Sodium hydroxide,,2
Which of the following salt is most acidic in its aqueous solution,,Chemistry,Salt Hydrolysis,Acidity of Salts,1,Medium,FeCl₃,,AlCl₃,,NiCl₂,,BeCl₂,,1
Which of the following has highest pH for its 0.1 M solution?,,Chemistry,Solutions,pH Calculation,1,Medium,H₂SO₄,,NaOH,,Ca(OH)₂,,Na₂CO₃,,3
When equal volumes of 0.1 M AgNO₃ solution & 0.2 M NaCl solution is mixed. The resulting concentration of NO₃⁻ ion in the solution is,,Chemistry,Solutions,Ionic Equilibrium,1,Medium,0.1 M,,0.2 M,,0.01 M,,0.05 M,,4
The oxidation number of S in SO₄²⁻,,Chemistry,Redox Reactions,Oxidation Number,1,Easy,-6,,-8,,6,,8,,3
"During electrolysis of CuSO₄, its density",,Chemistry,Electrochemistry,Electrolysis,1,Medium,Increase,,Decrease,,Remains constant,,Fluctuates,,2
Atomic spectrum of Hydrogen falling in the visible region,,Chemistry,Atomic Structure,Spectra,1,Easy,Lyman series,,Balmer series,,P-fund series,,Paschen series,,2
Vapour of the alcohol can be easily dehydrogenated by using,,Chemistry,Organic Chemistry,Alcohols,1,Medium,Proton,,Cu,,Anhydrous CaCl₂,,Heated Al₂O₃,,4
Glucose or fructose is converted into ethyl alcohol in presence of,,Chemistry,Organic Chemistry,Fermentation,1,Medium,Acid,,Hormone,,Enzyme,,Catalyst,,3
The electrolysis of sodium salt of the succinic acid gives,,Chemistry,Electrochemistry,Kolbe’s Reaction,1,Medium,Alkanes,,Alkenes,,Alkyl halides,,Alkynes,,1
Natural polymer is,,Chemistry,Organic Chemistry,Polymers,1,Easy,Bakelite,,Starch,,Polystyrene,,Polyvinyl chloride,,2
Which of the following reduces carbonyl compounds to hydrocarbons?,,Chemistry,Organic Chemistry,Carbonyl Reduction,1,Medium,Birch reduction,,Wolf-Kishner reduction,,Perkin’s condensation,,Rosenmund reduction,,2
Formaldehyde on reaction with Ca(OH)₂ forms,,Chemistry,Organic Chemistry,Aldehydes,1,Medium,m-formaldehyde,,Formose,,Sucrose,,Maltose,,2
Which of the following is unsaturated in nature?,,Chemistry,Organic Chemistry,Hydrocarbons,1,Medium,C₂H₆,,C₂H₂,,C₂H₅OH,,CH₄,,2
Most volatile alkane among the following is,,Chemistry,Organic Chemistry,Alkanes,1,Medium,n-butane,,Isopentane,,Neopentane,,n-pentane,,3
Acetyl salicylic acid is used as,,Chemistry,Organic Chemistry,Drugs,1,Easy,Antibiotic,,Antiseptic,,Antipyretic,,Antacid,,3
When phenol with chloroform in presence of aq. NaOH is reacted to form sodium salt of salicylaldehyde. This reaction is called as,,Chemistry,Organic Chemistry,Reactions of Phenols,1,Medium,Reimer-Tiemann reaction,,Gattermann-Koch reaction,,Rosenmund reduction,,Hoffmann’s reaction,,1
Which of the following reducing agent reduces carboxylic acid directly to alkane?,,Chemistry,Organic Chemistry,Reducing Agents,1,Medium,LiAlH₄,,NaBH₄,,C + 2H₂SO₄,,HI + red phosphorus,,4
"Methyl magnesium iodide, after treatment with CO₂, on further hydrolysis forms",,Chemistry,Organic Chemistry,Grignard Reagents,1,Medium,Methanoic acid,,Ethanoic acid,,Methyl iodide,,Acetaldehyde,,2
"The chemical compound, which gives white precipitate",,Chemistry,Inorganic Chemistry,Reactions,1,Medium,Hg(NH₂)Cl,,HgI₂,,H₂N₈OHgI,,Hg(NH₃)Cl,,1
Raney Ni is alloy of,,Chemistry,Inorganic Chemistry,Catalysts,1,Easy,Al + Ni,,Cu + Ni,,Zn + Ni,,Rb + Ni,,1
